Sample ID,Habitat,Vegetation,LatitudeN,LongitudeE,Al_mgperg,Zn_mgperg,Mn_mgperg,Mg_mgperg,Ca_mgperg,Na_mgperg,K_mgperg,Nematodespergdrysoil,Veg_richness,Veg_shannon,Veg_simpson,Veg_evenness,TotalCarbon,TotalNitrogen,alpha,Standardized Absorbance (L mg-1 cm-1),pH,Water content as percentage wet soil mass,DOC Concentration (mgCperg),TNb Concentration (mgNperg),CNratio,individualsperm2to10cmdepth,Morphotype_richness,Morphotype_shannon,Morphotype_simpson,Morphotype_evenness,250 Absorbance (L mg-1 cm-1),254 Absorbance (L mg-1 cm-1),260 Absorbance (L mg-1 cm-1),265 Absorbance (L mg-1 cm-1),272 Absorbance (L mg-1 cm-1),280 Absorbance (L mg-1 cm-1),285 Absorbance (L mg-1 cm-1),300 Absorbance (L mg-1 cm-1),340 Absorbance (L mg-1 cm-1),350 Absorbance (L mg-1 cm-1),365 Absorbance (L mg-1 cm-1),400 Absorbance (L mg-1 cm-1),436 Absorbance (L mg-1 cm-1),465 Absorbance (L mg-1 cm-1)
GB1,Grassland,Bracken Present,54.525356,-2.7713654,0.007840355,0.013666914,0.201214258,0.424472419,4.060659924,0.162716315,0.537599579,13.07228434,4,0.909632705,0.479053254,0.656161296,197.8249817,14.34135415,0.013068296,0.001752406,4.58,55.61964101,1.12972837,0.202520782,13.79402388,59.58761069,37,3.289158062,0.952151362,0.910892505,0.001826076,0.001752406,0.001650522,0.001592526,0.001487507,0.001382488,0.001307251,0.001089376,0.00068184,0.000600332,0.000496881,0.000344838,0.000263331,0.000230415
GB2,Grassland,Bracken Present,54.524353,-2.7707748,NA,NA,NA,NA,NA,NA,NA,14.03307346,3,0.700161184,0.381656805,0.637314175,122.2048194,9.839496699,0.014556859,0.000586836,5.47,49.60303337,1.186556085,0.146499207,12.41982422,44.30873616,30,2.988808717,0.928788479,0.878751916,0.000606777,0.000586836,0.000561198,0.000544105,0.000509921,0.00047716,0.000452946,0.000386001,0.000286296,0.000262082,0.000233595,0.000183742,0.00015668,0.00014386
GB3,Grassland,Bracken Present,54.524574,-2.7713352,0.027789379,0.026196029,0.324841838,0.352091974,2.406886575,0.070510386,0.475036711,7.617511141,3,0.829511303,0.536242604,0.755053727,95.09752843,7.678479261,0.014238514,0.00189216,4.96,54.27448673,1.084373239,0.138802759,12.38494306,74.86648523,36,3.102805129,0.935536119,0.865854257,0.001950307,0.00189216,0.001788436,0.001725574,0.001568418,0.001408119,0.001304396,0.001082806,0.000683629,0.000595622,0.000499756,0.000334743,0.00025145,0.000215304
GB4,Grassland,Bracken Present,54.524646,-2.7698996,0.135346497,0.005217333,0.18455569,0.1663231,1.284164489,0.075481344,0.278749742,4.548274259,3,0.991349745,0.598298677,0.902365425,115.2151399,9.344194262,0.010238682,0.001335057,4.72,40.45360549,1.596293551,0.170009803,12.33013106,33.10422816,24,2.732215139,0.887100592,0.859713298,0.00137354,0.001335057,0.001273879,0.001241317,0.001169285,0.00110416,0.001054823,0.000927534,0.000652234,0.000584149,0.000496329,0.00032661,0.000236817,0.000202281
GB5,Grassland,Bracken Present,54.525551,-2.7674445,0.10109126,0.013460103,0.16015443,0.34744692,1.802830376,0.065533792,0.404869403,22.03065997,3,0.315396287,0.139917695,0.287086073,139.9260501,10.61276299,0.014285384,0.001580974,4.57,48.61363785,1.093067302,0.123373504,13.18469566,17.31605781,18,2.587776043,0.89100346,0.895309067,0.001636844,0.001580974,0.001479804,0.001431484,0.001324273,0.001221593,0.001146093,0.000957342,0.000602492,0.000531521,0.000456021,0.000326161,0.000258211,0.000234051
GN10,Grassland,Bracken Absent,54.525544,-2.7714771,0.035993802,0.014688648,0.134815004,0.308253451,3.43715427,0.113476287,0.441364435,30.46465891,3,0.802807447,0.487292586,0.73074683,251.7400057,14.5290605,0.013727369,0.001035799,4.7,56.02403025,1.646093019,0.225638609,17.3266541,137.5098708,44,2.917380468,0.908312757,0.77093929,0.001076936,0.001035799,0.000974622,0.000937704,0.000864924,0.000803747,0.000755226,0.000626543,0.000388161,0.000335422,0.000275299,0.000181423,0.000130793,0.000110752
GN3,Grassland,Bracken Absent,54.524174,-2.7706478,0.020023211,0.018704177,0.13366058,0.256683031,2.573184823,0.086396577,0.308622193,9.91279779,5,0.882084656,0.432525952,0.548070012,95.89425106,8.834612592,0.016929214,0.000205232,5.03,49.56015339,2.787495479,0.308804668,10.854381,95.74761376,34,2.869861929,0.907947039,0.813831118,0.000210089,0.000205232,0.000196731,0.000191873,0.000176086,0.000165157,0.000154834,0.000131154,0.000102009,9.41150759849603e-05,8.37927773285453e-05,6.80057323246164e-05,5.70762396295888e-05,5.10042992434623e-05
GN4,Grassland,Bracken Absent,54.524799,-2.7698098,0.104684662,0.012503353,0.125071622,0.241079838,1.697311773,0.103924834,0.42379033,13.44619602,5,0.731802286,0.337148803,0.454694325,141.4659356,8.702008167,0.014439596,0.000447159,4.7,51.34641749,3.200436127,0.277083174,16.25669994,178.7628321,39,2.9537628,0.920625644,0.806254428,0.00045995,0.000447159,0.000422643,0.000405588,0.000369346,0.000336302,0.00031445,0.000260621,0.000173747,0.000156159,0.000132176,9.06043308870164e-05,6.87526981436772e-05,5.96922650549755e-05
GN5,Grassland,Bracken Absent,54.525422,-2.7679674,NA,NA,NA,NA,NA,NA,NA,25.82450867,1,0,0,0,93.22005142,7.495762384,0.014716756,0.000428744,4.71,34.46892973,2.691938009,0.149046958,12.43636693,107.4614176,46,3.084433395,0.913456571,0.805620865,0.000443566,0.000428744,0.000402942,0.000388669,0.000355731,0.000328283,0.000309069,0.000254721,0.000168533,0.000144928,0.000121871,8.78348704435661e-05,6.80720245937637e-05,5.76416337285903e-05
GN9,Grassland,Bracken Absent,54.524878,-2.7714954,0.093878038,0.022644571,0.174823025,0.257082513,2.08478356,0.124458103,0.35869496,30.63167435,3,0.578532844,0.322580645,0.526603288,283.9287623,15.8755382,0.009123129,0.00141979,4.86,66.40779425,3.003206953,0.310998187,17.88467003,103.387051,27,2.773403943,0.910286588,0.84148702,0.001466059,0.00141979,0.001355675,0.001321964,0.001255866,0.001185802,0.00113755,0.00100932,0.000704607,0.000635865,0.000541344,0.000365523,0.000271003,0.000232666
