Sample ID,Habitat,Vegetation,Date,Time,Elevation (m),OS Grid Reference,Aspect,Waypoint Number (GPS 6),% Grass (unidentified species),% Molinea species,%Sedge,% Festuca,%Ranunculus ,%Moss,%Lichen,%Unidentified Forb,%Hieraciem,%Bird's Trefoil,%Euphrasia,% Tormentil,% Asteraceae,% Trifolium,% Urtica dioica,% Gallium,% Cinquefoil,% Rumex acetosa,% Wood Sorrel,% Calluna vulgaris,% Vaccinium myrtilus ,% Bracken
GB1,Grassland,Bracken,18/08/2023,13:54,411,NY5017314726,SW,41,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
GB2,Grassland,Bracken,18/08/2023,14:22,385,NY5021014614,SW,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,80
GB3,Grassland,Bracken,18/08/2023,14:09,395,NY5017414639,SW,43,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
GB4,Grassland,Bracken,18/08/2023,14:41,388,NY5026714646,SSW,46,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,96
GB5,Grassland,Bracken,18/08/2023,15:19,385,NY5042714745,S,49,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,100
GN3,Grassland,Non Bracken,18/08/2023,14:32,379,NY5021814594,SW,45,100,0,0,0,0,4,0,0,0,0,20,8,4,0,0,0,0,0,0,0,0,0
GN4,Grassland,Non Bracken,18/08/2023,14:51,389,NY5027314663,SW,47,100,0,0,0,0,12,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0
GN5,Grassland,Non Bracken,18/08/2023,15:04,380,NY5039314731,S,48,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN9,Grassland,Non Bracken,18/08/2023,14:01,410,NY5016414673,SW,42,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
GN10,Grassland,Non Bracken,18/08/2023,13:41,414,NY5016614747,SSW,40,90,0,0,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
UB1,Heathland,Bracken,17/08/2023,17:14,396,NY5058115164,S,32,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75
UB4,Heathland,Bracken,17/08/2023,18:05,369,NY5067015264,ESE,34,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,80
UB6,Heathland,Bracken,17/08/2023,16:26,393,NY5048014998,NE,30,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
UB9,Heathland,Bracken,17/08/2023,17:33,378,NY5066015184,ENE,33,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49
UB10,Heathland,Bracken,17/08/2023,16:08,390,NY5046415031,NNE,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
UN1,Heathland,Non Bracken,17/08/2023,16:52,385,NY5052115100,W,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,3,0
UN3,Heathland,Non Bracken,17/08/2023,15:07,428,NY5012414934,SSW,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2,0
UN7,Heathland,Non Bracken,17/08/2023,15:46,397,NY5041614996,SW,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0
UN8,Heathland,Non Bracken,17/08/2023,14:49,423,NY5004814883,SW,26,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
UN10,Heathland,Non Bracken,17/08/2023,14:30,416,NY5003814836,SW,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
WB3,Woodland,Bracken,18/08/2023,12:58,403,NY4987215058,NE,38,36,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
WB4,Woodland,Bracken,18/08/2023,11:57,402,NY4981915182,NNE,N/A,4,0,0,56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,48
WB6,Woodland,Bracken,18/08/2023,10:04,439,NY4985715104,ENE,N/A,40,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,60
WB7,Woodland,Bracken,18/08/2023,10:24,441,NY4981215110,ENE,N/A,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,80
WB8,Woodland,Bracken,18/08/2023,12:37,391,NY4983915119,N,36,36,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,50
WN2,Woodland,Non Bracken,18/08/2023,12:43,391,NY4984915118,N,37,100,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WN4,Woodland,Non Bracken,18/08/2023,10:51,438,NY4977215086,NE,N/A,1,0,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
WN5,Woodland,Non Bracken,18/08/2023,13:08,407,NY4988215088,N,39,12,0,0,40,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
WN6,Woodland,Non Bracken,18/08/2023,11:27,415,NY4982115155,NNW,N/A,44,0,0,30,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
WN8,Woodland,Non Bracken,17/08/2023,18:38,346,NY5072815261,E,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
